"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Smogen Sherry Project 1:3","8.76","0.26","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Arran Malt Sassicaia Wine Cask Finish","8.75","0.19","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 17yo","8.75","0.26","26","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 25yo","8.75","0.30","20","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Minister's Reserve","8.75","0.15","5","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenrothes Whisky Maker's Cut","8.75","0.36","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan Classic Cut (all editions)","8.75","0.19","15","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour 18yo","8.74","0.27","15","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 50)","8.73","0.37","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 5)","8.73","0.25","11","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 105","8.73","0.37","33","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 15yo Fire","8.73","0.35","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 16yo","8.73","0.33","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Ruby","8.73","0.22","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Scallywag Cask Strength (all batches)","8.73","0.07","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (batch 1)","8.72","0.46","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Macallan Rare Cask Batch 1","8.71","0.36","14","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Springbank 13yo Green","8.71","0.34","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teerenpeli Distiller’s Choice KARHI","8.71","0.15","3","$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Bowmore 10yo Devil's Cask (all batches)","8.70","0.40","25","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Nectar d'Or","8.70","0.30","27","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo","8.70","0.24","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura Brooklyn","8.70","0.26","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa Asama Vintages 1999-2000","8.70","0.52","9","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Mortlach 16yo (F&F)","8.70","0.27","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sheep Dip 1999 Amoroso Blended Malt","8.7","0.58","3","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:1","8.7","0.12","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Two Brewers Special Finishes (all releases)","8.7","0.19","5","$$$$","SingleMalt-like","ABC","B","Canada","Malt"
"Deanston 10yo PX Finish","8.69","0.44","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Knappogue Castle 16yo Twin Wood","8.69","0.44","7","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Ledaig 18yo","8.69","0.59","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Sienna","8.69","0.34","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Bengal Tiger PX Single Cask (Canada)","8.68","0.25","6","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Glen Garioch 15yo Wine Cask Matured","8.68","0.27","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.68","0.36","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 38)","8.67","0.19","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Madeira Wine Cask","8.67","0.45","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain Moine (all bottlings)","8.67","0.54","16","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie The Taghta","8.67","0.32","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast Lustau Edition","8.67","0.32","20","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Tomatin 18yo","8.67","0.21","15","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Cu Bocan 2005 Limited Edition","8.67","0.44","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 21yo Tawny Port Finish","8.66","0.27","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glencadam 14yo Oloroso Sherry Cask Finish","8.66","0.52","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (all batches)","8.66","0.39","18","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 2)","8.66","0.42","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park Valknut","8.66","0.25","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sullivans Cove French Oak","8.66","0.31","8","$$$$$+","SingleMalt-like","ABC","C","Tasmania","Malt"
"Compass Box The Story of the Spaniard","8.65","0.28","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 15yo Tawny Port Finish","8.65","0.51","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 21yo","8.65","0.29","19","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfiddich 21yo Gran Reserva","8.65","0.39","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 14yo Burgundy Wood","8.65","0.64","6","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ohishi Sherry Single Cask","8.65","0.44","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast Mano a Lámh","8.65","0.38","4","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Ardbeg Galileo","8.64","0.58","20","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 17yo Doublewood","8.64","0.31","19","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 12yo Matured in Sherry Wood","8.64","0.21","20","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Benromach 15yo","8.64","0.44","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Oban Distillers Edition (all vintages)","8.64","0.32","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balblair 1989","8.63","0.40","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 15yo","8.63","0.46","24","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenrothes 18yo","8.63","0.33","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin 14yo Portwood","8.63","0.3","15","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Two Brewers Release 09 Special Finishes","8.63","0.3","5","$$$$","SingleMalt-like","ABC","B","Canada","Malt"
"Aberlour 16yo Double Cask Matured","8.62","0.17","17","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 57)","8.62","0.46","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Hazelburn 12yo (Springbank)","8.62","0.34","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
