name,rating,type
Benromach 1974 Heritage Single Cask #1583,9.4,Bourbon
Stolichnaya Vodka,9.4,Cognac
Stolichnaya Vodka,9.4,Single Malt
Foursquare Criterion,9.4,Sloe Gin & Variants
Craigellachie 31 Year ,9.4,Distilled Gin
Laphroaig Cairdeas 2017 Cask Strength Quarter Cask Edition,9.4,Rye
J.P. Wiser's Dissertation,9.4,American Single Malt
Compass Box Rivals,9.4,Peated Single Malt
Four Roses Limited Edition 50th Anniversary Small Batch Bourbon (2017),9.4,Blended
"Booker's Bourbon Batch 2017-01 ""Tommy's Batch""",9.4,Bourbon
Johnnie Walker 18 Year,9.4,Aged Rum
anCnoc 35 Year ,9.4,Rye
WhistlePig The Boss Hog III: The Independent,9.4,Peated Single Malt
WhistlePig The Boss Hog III: The Independent,9.4,Rye
Hamilton Saint Lucian Pot Still Rum 2006,9.4,Tequila Reposado
Bruichladdich Black Art 1992 05.1 Edition 24 Year,9.4,Single Malt
4 Copas Tequila Añejo,9.4,Canadian
Cognac Park XO Cigar Blend,9.4,Cachaça 
Privateer Navy Yard Rum,9.4,Bourbon
Caol Ila 15 Year 2000 (2016 Special Release),9.4,Canadian
Cambus 40 Year 1975 (2016 Special Release),9.4,Peated Single Malt
Belle Meade Bourbon Madeira Cask Finish,9.4,Tequila Añejo
La Mauny V.S.O.P.,9.4,Single Malt
Filliers 15 Year Oude Graanjenever,9.4,Aged Rum
Filliers 15 Year Oude Graanjenever,9.4,Cognac
Hammer & Son Old English Gin,9.4,Mezcal Joven
Sipsmith VJOP London Dry Gin,9.4,Aged Rum
Opihr Oriental Spiced Gin,9.4,Bourbon
Old Forester Birthday Bourbon 2016,9.4,Mezcal Joven
Eagle Rare 17 Year Bourbon (Fall 2016),9.4,Tequila Extra Añejo
Augier L'Océanique Cognac,9.4,Mezcal Joven
Kavalan Solist PX Sherry Single Cask Strength,9.4,American Brandy
Hayman's Sloe Gin,9.4,Aged Rum
Barr Hill Gin,9.4,Spiced Rum
Woody Creek Colorado Straight Rye Whiskey,9.4,Calvados
Woody Creek Colorado Straight Rye Whiskey,9.4,Mezcal Añejo
Lost Spirits Leviathan I Single Malt ,9.4,Eau-de-Vie
Stauning Peated Whisky (5th Edition),9.4,Eau-de-Vie
Stauning Kaos Danish Whisky ,9.4,Eau-de-Vie
Four Roses Limited Edition Bourbon Elliott’s Select (2016),9.4,Other Whiskey
Ron Malecon Reserva Imperial 25 Year,9.4,Other Whiskey
Booker's Rye Whiskey Big Time Batch (2016 Release),9.4,Aged Rum
Lagavulin Fèis Ìle 2015,9.4,Rhum Agricole Blanc
Lock Stock & Barrel Straight Rye Whiskey 16 Year,9.4,Aged Rum
Don Pilar Reposado Tequila ,9.4,Aged Rum
Teeling Distillery Exclusive 23 Year Single Malt,9.4,Aged Rum
Teeling Distillery Exclusive 23 Year Single Malt,9.4,Cognac
Forty Creek Port Wood Reserve,9.4,Cognac
Novo Fogo Single Barrel 87 Cachaça,9.4,Tequila Blanco
Old Forester Birthday Bourbon 2014,9.4,Tequila Extra Añejo
Crown Royal Noble Collection Cornerstone Blend,9.4,Tequila Extra Añejo
Laphroaig Lore,9.4,Raicilla Blanco
Arta Tequila Añejo,9.4,Tequila Blanco
Royal Brackla 21 Year,9.4,Mezcal Joven
Panamá-Pacific Rum 9-Year,9.4,Mezcal Joven
ABK6 Extra Cognac,9.4,Mezcal Joven
Siembra Metl Cenizo Mezcal,9.4,Tequila Añejo
Siembra Metl Cenizo Mezcal,9.4,Tequila Añejo
Cap Savanna Rhum Vieux 7 ,9.4,Mezcal Joven
Booker’s Bourbon Batch 2016-01 “Booker’s Bluegrass”,9.4,Tequila Añejo
Mezcal Gracias a Dios Tobalá,9.4,Tequila Blanco
Tequila San Matias Gran Reserva Extra Añejo ,9.4,Tequila Añejo
Wahaka Mezcal Joven Ensamble,9.4,Mezcal Joven
Clear Creek Reserve Apple Brandy,9.4,Tequila Blanco
Bristol Port Morant Demerara Rum 1999,9.4,Peated Single Malt
Liberty Call San Diego County Spiced Rum,9.4,Bourbon
Christian Drouin VSOP Calvados,9.4,Tequila Añejo
Ilegal Mezcal Añejo,9.4,Tequila Reposado
Ilegal Mezcal Añejo,9.4,Peated Single Malt
F. Meyer Quetsch Eau-de-Vie,9.4,Single Malt
F. Meyer Framboise Eau-de-Vie,9.4,Single Malt
F. Meyer Kirsch Eau-de-Vie,9.4,Peated Single Malt
Charbay Hop Flavored Whiskey Release III,9.4,Peated Single Malt
Charbay Hop Flavored Whiskey R5 Lot No. 3,9.4,Peated Single Malt
El Dorado 15 Year Rum,9.4,Peated Single Malt
Capovilla Rhum Rhum PMG Rhum Blanc Agricole 56%,9.4,Bourbon
Ron Abuelo Centuria ,9.4,Single Malt
Facundo Exquisito Rum,9.4,Bourbon
Ron Diplomático Reserva Exclusiva Rum,9.4,Peated Single Malt
Ron Diplomático Reserva Exclusiva Rum,9.4,Single Malt
Paul Beau Lignee de Samuel Cognac,9.4,Single Malt
HINE Triomphe Cognac,9.4,Rye
Tequila Lapis Platinum,9.4,Bourbon
Fuenteseca Reserva Extra Añejo Tequila 12 Años ,9.4,Single Malt
Avión Reserva 44 Extra Añejo,9.4,Single Malt
La Venenosa Costa Raicilla (Green Label) ,9.4,Single Malt
Don Julio Blanco Tequila,9.4,Rye
Bruxo No. 4 Ensamble Mezcal,9.4,Bourbon
El Jolgorio Espadín Mezcal,9.4,Wheat Whiskey
Mezcal de las Hormigas,9.4,American Single Malt
Mezcal de las Hormigas,9.4,Single Malt
t1 Tequila Añejo Estelar ,9.4,Single Malt
Tequila ArteNOM Selección de 1146 Añejo ,9.4,Peated Single Malt
Del Maguey Chichicapa Mezcal,9.4,Blended
Expresiones del Corazón Old Rip Van Winkle Añejo Tequila,9.4,Peated Single Malt
Fortaleza Blanco Tequila,9.4,Canadian
Tequila Tapatio Añejo,9.4,Peated Single Malt
Mezcalero No. 10,9.4,Peated Single Malt
Tequila ArteNOM Selección de 1580 Blanco,9.4,Blended Malt
Säntis Malt Appenzeller Single Malt Edition Dreifaltigkeit,9.4,Blended
Woodford Reserve Master's Collection 1838 Style White Corn Bourbon,9.4,Peated Blend
Woodford Reserve Master's Collection 1838 Style White Corn Bourbon,9.4,Peated Single Malt
Azuñia Añejo Tequila,9.4,Bourbon
Azuñia Reposado Tequila,9.4,Canadian
Laphroaig Cairdeas 200th Anniversary Edition ,9.4,Pisco 
Glenmorangie 1970's Collection '71,9.4,Bourbon
Glenmorangie 1970's Collection '76,9.4,Canadian
Heartwood The Revelation Single Malt,9.4,Single Malt
Laphroaig 10 Year Cask Strength Batch 005,9.4,Bourbon
Octomore 06.1/167 Scottish Barley,9.4,Single Malt
Highland Park 21 Year,9.4,Tequila Reposado
I.W. Harper Straight Bourbon ,9.4,Single Malt
I.W. Harper Straight Bourbon ,9.4,Peated Single Malt
Jura 1984,9.4,Peated Single Malt
I.W. Harper 15 Year Bourbon,9.4,Flavored Vodka
The Balvenie Peated Cask 17 Year,9.4,Single Malt
Balblair 1999 2nd Release,9.4,Rye
anCnoc Vintage 1975,9.4,Rye
Woodford Reserve Straight Rye,9.4,Bourbon
Four Roses Limited Edition Small Batch Bourbon (2014) ,9.4,Peated Single Malt
Yamazaki Sherry Cask 2013,9.4,Coffee Liqueurs
Old Pulteney 21 Year,9.4,Bourbon
Glenfarclas 40 Year,9.4,Peated Single Malt
Glenfarclas 40 Year,9.4,Single Malt
Lock Stock & Barrel Straight Rye Whiskey 13 Year,9.4,Amaro
Michter's 20 Year Single Barrel Bourbon,9.4,Fruit Liqueurs
