name,rating,type
Craigellachie 14yo,8.38,Malt
Mackmyra Special 10,8.38,Malt
Glenlivet 15yo French Oak,8.37,Malt
Knappogue Castle 14yo Twin Wood,8.37,Malt
Okanagan Spirits Laird of Fintry (all editions),8.36,Malt
Tomatin 15yo,8.35,Malt
BenRiach 12yo Horizons,8.34,Malt
Dalmore 12yo,8.34,Malt
Old Pulteney 12yo,8.34,Malt
Singleton of Dufftown 18yo,8.34,Malt
Glenrothes Vintage 1998 (2014),8.32,Malt
Glenrothes Vintage Reserve (NAS),8.32,Malt
Scapa 16yo,8.32,Malt
Cragganmore 12yo,8.31,Malt
Gouden Carolus Single Malt,8.31,Malt
Old Pulteney Navigator,8.31,Malt
Glenfiddich 14yo Bourbon Barrel Reserve,8.3,Malt
Auchentoshan 12yo,8.29,Malt
Monkey Shoulder,8.29,Malt
Singleton of Dufftown 15yo,8.29,Malt
Sullivans Cove Double Cask,8.29,Malt
Teaninich 10yo (F&F),8.29,Malt
Teeling Small Batch (Rum Cask Finish),8.29,Blend
Tullibardine 225 Sauternes Finish,8.29,Malt
Deveron 12yo,8.28,Malt
Wemyss Malts Smooth Gentleman,8.28,Malt
Macallan 10yo Fine Oak,8.27,Malt
Singleton of Glen Ord 12yo,8.27,Malt
Stalk & Barrel Single Malt (All Casks),8.27,Malt
Deanston 12yo,8.26,Malt
Deveron 18yo,8.26,Malt
Glencadam Origin 1825 (NAS),8.26,Malt
Ohishi Brandy Cask,8.26,Malt
Royal Brackla 12yo,8.26,Malt
Bruichladdich Black Art 1989,8.25,Malt
Macallan Amber,8.25,Malt
Edradour 10yo,8.24,Malt
Tobermory 10yo,8.23,Malt
Glenrothes Elders' Reserve,8.22,Malt
Scallywag,8.21,Malt
Strathisla 12yo,8.21,Malt
Bruichladdich Sherry Classic,8.2,Malt
Mackmyra Moment Jakt,8.2,Malt
Glen Breton 21yo,8.19,Malt
Two Brewers Release 05 Innovative,8.19,Malt
Glenrothes 12yo,8.18,Malt
Tomintoul 12yo Oloroso Sherry,8.18,Malt
Auchroisk 10yo (F&F),8.16,Malt
Glenfiddich Select Cask,8.16,Malt
Arran Malt Robert Burns Single Malt,8.14,Malt
The Irishman Single Malt (NAS),8.14,Malt
Tullibardine 1993 Sauternes,8.14,Malt
Aberfeldy 12yo,8.13,Malt
Glenrothes Manse Reserve,8.13,Malt
Lohin McKinnon Choclolate Malt,8.13,Malt
