name,rating
BenRiach 1976 (for The Whisky Fair),9.1
BenRiach 1976 (La Maison Du Whisky) ,9.1
BenRiach 1976 Cask #3032,8.8
BenRiach 1976 Cask #6942,8.8
BenRiach 1976 for The Nectar,9.1
Benriach 1979 Adelphi,8.8
BenRiach 1984 Cask #1049 (K&L Exclusive),8.8
BenRiach 1986 Cadenheads,8.5
BenRiach 1986 for PLOWED,8.8
BenRiach 1990 Single Malts of Scotland,8.5
BenRiach 1991 Gaja Barolo Finish (D&M),8.8
BenRiach 1994 (K&L),8.1
BenRiach 1994 Cask 286,8.1
Benriach 1994 Cask 7352,8.8
"BenRiach 1994 Limited Release, Cask 804",8.5
BenRiach 1994 Signatory Chateau D'Yquem Finish (Binny's),9.1
BenRiach 1995 Cask 7164,8.5
BenRiach 1995 Cask 7165,8.1
BenRiach 1995 PX Sherry Puncheon ,8.8
BenRiach 20 (circa 2008),7.8
BenRiach 20 (circa 2012),8.5
BenRiach 21 Authenticus,8.5
Benriach 35,8.8
BenRiach Birnie Moss,8.1
BenRiach Heart of Speyside,7.5
BenRiach Horizons,7.5
Benrinnes 11yr Chieftain's Tokaji/Tokay Finish,8.5
Benrinnes 12 The Manager's Dram,7.8
Benrinnes 15yr Flora & Fauna,8.5
Benrinnes 1972 Signatory,9.1
Benrinnes 1973 Connoisseur's Choice,8.8
Benrinnes 1979 Scott's Selection,8.8
Benrinnes 1984 Chieftain's,8.1
Benrinnes 1985 The Bottlers,8.8
Benrinnes 1988 Cadenhead's,8.5
Benrinnes 1990 Signatory,8.5
Benrinnes 1997 Signatory Vintage,8.5
Benrinnes 1999 SMWS 36.46,8.5
Benrinnes 20 Time II,8.5
Benrinnes Batch 1 That Boutique-y Whisky Company,8.1
Benrinnes SMWS 36.37,8.5
Benromach 10,8.5
Benromach 19 Year Old 1978 Rare Malts,8.5
Benromach 1976 Cadenhead's,8.1
Benromach 1978 Glenhaven,8.5
Benromach 1978 Scott's Selection 22 yo,8.5
Benromach 1978/1997 Scott's Selection,8.5
Benromach 1982 Gordon & MacPhail,8.5
Benromach 2007 Sassicaia,8.1
Benromach 21,8.5
Benromach 25,8.1
Benromach Imperial Proof,8.5
Benromach Organic,7.5
Benromach Peat Smoke,8.5
Benromach Traditional,8.5
Berkshire Bourbon,7.5
Bernheim Original ,8.1
Berry Bros. & Rudd All Malt (1980s),8.5
